total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.30375,0,1,0,0,1,0,0,0,0,0,0,0:1;
0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0.01,0.3025,1,10,0,1008,9,0,0,0,0,0,0,0:1;1:9;
0,0,0,0,0,14,0,14,0,14,0,0,0,0,0,0.01,0.3,1,14,0,1456,13,0,0,0,0,0,0,0:1;1:13;
0,0,0,0,0,79,0,78,0,79,0,1,0,0,0,0.01,0.3,1,79,1,8736,78,1,0,0,0,0,0,1:78;
0,0,0,0,0,79,0,78,0,79,0,1,0,0,0,0.01,0.3,1,79,1,8736,78,1,0,0,0,0,0,1:78;
0,0,0,0,0,89,0,88,0,88,0,1,0,0,0,0.03125,0.29875,2,88,1,9744,86,1,0,0,0,0,0,1:78;2:9;
0,0,0,0,0,157,0,155,0,156,0,2,0,0,0,0.03125,0.29875,2,156,2,17360,154,1,0,0,0,0,0,1:77;2:77;
0,0,0,0,0,157,0,155,0,156,0,2,0,0,0,0.03125,0.29875,2,156,2,17360,154,1,0,0,0,0,0,1:77;2:77;
0,0,0,0,0,1067,0,1046,0,1033,0,14,0,0,0,0.10875,0.2975,4,1033,14,115584,1018,1,0,0,0,0,0,1:76;2:152;3:145;4:508;5:138;
0,0,0,0,0,1135,0,1112,0,1099,0,15,0,0,0,0.10875,0.2975,4,1099,15,122976,1084,1,0,0,0,0,0,1:76;2:152;3:144;4:574;5:138;
0,0,0,0,0,1135,0,1112,0,1099,0,15,0,0,0,0.10875,0.2975,4,1099,15,122976,1084,1,0,0,0,0,0,1:76;2:152;3:144;4:573;5:138;
0.062,0.062,0,0.062,0,25440,0,24195,0,23181,0.031,355,0.031,0,0,0.1425,0.29625,4,23175,349,2596160,22825,1,0,0,0,0,0,1:76;2:117;3:2518;4:11742;5:402;6:7970;
0.062,0.062,0,0.062,0,25506,0,24260,0,23246,0.031,356,0.031,0,0,0.1425,0.29625,4,23240,350,2603440,22890,1,0,0,0,0,0,1:76;2:117;3:2517;4:11807;5:402;6:7970;
0.062,0.062,0,0.062,0,25506,0,24260,0,23246,0.031,356,0.031,0,0,0.1425,0.29625,4,23240,350,2603440,22890,1,0,0,0,0,0,1:76;2:116;3:2516;4:11792;5:400;6:7894;
0.109,0.109,0,0.109,0,43638,0.015,41213,0,39223,0.063,623,0.031,0,0,0.09625,0.29375,3,39214,614,4392864,38600,1,0,0,0,0,0,1:76;2:111;3:2819;4:12077;5:4823;6:18598;
0.109,0.109,0,0.109,0,43711,0.015,41284,0,39294,0.063,624,0.031,0,0,0.09625,0.29375,3,39285,615,4400816,38670,1,0,0,0,0,0,1:76;2:110;3:2890;4:12077;5:4823;6:18598;
0.109,0.109,0,0.109,0,43711,0.015,41284,0,39294,0.063,624,0.031,0,0,0.09625,0.29375,3,39285,615,4400816,38670,1,0,0,0,0,0,1:75;2:110;3:2873;4:12048;5:4743;6:18301;
0.14,0.14,0,0.14,0,69785,0.015,64822,0.015,61291,0.079,1000,0.031,0,0,0.22875,0.29375,3,61273,983,6864368,60290,1,0,0,0,0,0,1:75;2:75;3:5335;4:14022;5:9169;6:30675;7:420;
0.203,0.187,0.016,0.187,0,115439,0.015,106181,0.031,100094,0.094,1660,0.047,0,0,0.20125,0.29375,3,100056,1628,11209744,98428,1,0,0,0,0,0,1:74;2:96;3:9096;4:17852;5:17077;6:51946;7:1773;
0.359,0.187,0.016,0.187,0,115439,0.015,106181,0.031,100094,0.094,1660,0.047,0,0,0.20125,0.29375,3,99542,1628,11152176,98428,1,0,0,0,0,0,1:74;2:96;3:9096;4:17852;5:17077;6:51946;7:1773;
0.359,0.187,0.016,0.187,0,115439,0.015,106181,0.031,100094,0.094,1660,0.047,0,0,0.20125,0.29375,3,99542,1628,11152176,98428,1,0,0,0,0,0,1:74;2:96;3:9096;4:17852;5:17077;6:51946;7:1773;
