total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.342609,0,1,0,0,1,0,0,0,0,0,0,0:1;
0.015,0,0,0,0,4,0,4,0,4,0,0,0.015,3,18,0.01,0.331739,1,4,0,336,3,0,0,3,0,0,0,0:1;1:3;
0.015,0,0,0,0,8,0,8,0,8,0,0,0.015,7,42,0.01,0.265652,1,8,0,784,7,0,0,7,0,0,0,0:1;1:7;
0.015,0.015,0,0.015,0,32,0,32,0,33,0,1,0.015,32,192,0.01,0.265652,1,33,1,3584,32,1,0,32,0,0,0,1:32;
0.015,0.015,0,0.015,0,32,0,32,0,33,0,1,0.015,32,192,0.01,0.265652,1,33,1,3584,32,1,0,32,0,0,0,1:32;
0.078,0.078,0,0.078,0,27896,0,21809,0,8209,0,1000,0.078,17440,275838,0.247826,0.265652,1,7846,720,912016,7144,1,0,6919,536,753,0,1:31;4:4568;5:877;6:954;7:26;
0.125,0.11,0.015,0.11,0,55056,0,37201,0,14767,0,2000,0.094,27122,456231,0.221739,0.265652,1,13932,1284,1645728,12695,1,0,12982,930,854,0,1:31;4:4098;5:6128;6:1571;7:78;
0.187,0.172,0.015,0.157,0.016,82312,0,55447,0.016,21044,0,3000,0.094,39732,688683,0.240435,0.265652,1,19836,1995,2342592,17917,1,0,18390,1653,1000,0,1:31;4:3401;5:11253;6:2060;7:276;8:2;
0.234,0.219,0.015,0.204,0.016,110100,0.015,75691,0.016,24233,0,4000,0.126,53012,929802,0.239565,0.265652,1,22607,2694,2687552,19997,1,0,20954,2102,1176,0,1:31;4:2516;5:13818;6:2314;7:352;8:2;
